Zeit;Kanal A
(ms);(V)

-4,97469405;1,03115800
-4,97459005;1,03115800
-4,97448605;1,03115800
-4,97438205;1,03115800
-4,97427805;0,98440580
-4,97417405;1,03115800
-4,97407005;0,98440580
-4,97396605;1,03115800
-4,97386205;1,03115800
-4,97375805;1,03115800
-4,97365405;1,03115800
-4,97355005;1,03115800
-4,97344605;1,03115800
-4,97334205;1,03115800
-4,97323805;1,03115800
-4,97313405;1,03115800
-4,97303005;1,07806300
-4,97292605;1,03115800
-4,97282205;1,03115800
-4,97271805;1,03115800
-4,97261405;1,03115800
-4,97251005;1,03115800
-4,97240605;1,03115800
-4,97230205;1,03115800
-4,97219805;0,98440580
-4,97209405;1,03115800
-4,97199005;1,03115800
-4,97188605;1,03115800
-4,97178205;0,98440580
-4,97167805;1,03115800
-4,97157405;1,03115800
-4,97147005;0,98440580
-4,97136605;1,03115800
-4,97126205;1,03115800
-4,97115805;1,03115800
-4,97105405;1,03115800
-4,97095005;1,03115800
-4,97084605;1,03115800
-4,97074205;1,03115800
-4,97063805;1,03115800
-4,97053405;1,03115800
-4,97043005;1,03115800
-4,97032605;1,03115800
-4,97022205;0,98440580
-4,97011805;1,03115800
-4,97001405;0,98440580
-4,96991005;1,03115800
-4,96980605;0,98440580
-4,96970205;0,98440580
-4,96959805;0,98440580
-4,96949405;0,98440580
-4,96939005;0,98440580
-4,96928605;1,03115800
-4,96918205;1,03115800
-4,96907805;1,03115800
-4,96897405;1,03115800
-4,96887005;1,07806300
-4,96876605;1,03115800
-4,96866205;1,07806300
-4,96855805;1,03115800
-4,96845405;1,03115800
-4,96835005;1,07806300
-4,96824605;1,03115800
-4,96814205;1,03115800
-4,96803805;1,03115800
-4,96793405;1,03115800
-4,96783005;1,03115800
-4,96772605;0,98440580
-4,96762205;1,03115800
-4,96751805;0,98440580
-4,96741405;1,03115800
-4,96731005;0,98440580
-4,96720605;0,98440580
-4,96710205;1,03115800
-4,96699805;1,03115800
-4,96689405;1,03115800
-4,96679005;1,03115800
-4,96668605;1,03115800
-4,96658205;1,07806300
-4,96647805;1,07806300
-4,96637405;1,07806300
-4,96627005;1,07806300
-4,96616605;1,07806300
-4,96606205;1,03115800
-4,96595805;1,03115800
-4,96585405;1,03115800
-4,96575005;1,03115800
-4,96564605;1,03115800
-4,96554205;1,03115800
-4,96543805;1,03115800
-4,96533405;1,03115800
-4,96523005;0,98440580
-4,96512605;1,03115800
-4,96502205;1,03115800
-4,96491805;1,03115800
-4,96481405;0,98440580
-4,96471005;1,03115800
-4,96460605;1,03115800
-4,96450205;1,03115800
-4,96439805;1,03115800
-4,96429405;1,07806300
-4,96419005;1,07806300
-4,96408605;1,03115800
-4,96398205;1,03115800
-4,96387805;1,03115800
-4,96377405;1,03115800
-4,96367005;1,03115800
-4,96356605;1,03115800
-4,96346205;0,98440580
-4,96335805;1,03115800
-4,96325405;1,03115800
-4,96315005;1,03115800
-4,96304605;1,03115800
-4,96294205;1,03115800
-4,96283805;1,03115800
-4,96273405;1,03115800
-4,96263005;1,03115800
-4,96252605;1,03115800
-4,96242205;1,03115800
-4,96231805;1,03115800
-4,96221405;1,03115800
-4,96211005;1,03115800
-4,96200605;1,03115800
-4,96190205;1,03115800
-4,96179805;1,07806300
-4,96169405;1,03115800
-4,96159005;1,03115800
-4,96148605;1,03115800
-4,96138205;1,03115800
-4,96127805;1,03115800
-4,96117405;1,03115800
-4,96107005;1,03115800
-4,96096605;1,03115800
-4,96086205;1,03115800
-4,96075805;1,03115800
-4,96065405;0,98440580
-4,96055005;1,03115800
-4,96044605;1,03115800
-4,96034205;1,03115800
-4,96023805;1,03115800
-4,96013405;1,03115800
-4,96003005;1,03115800
-4,95992605;1,07806300
-4,95982205;1,12496900
-4,95971805;1,03115800
-4,95961405;1,03115800
-4,95951005;1,03115800
-4,95940605;1,07806300
-4,95930205;1,03115800
-4,95919805;1,03115800
