Zeit;Kanal A
(ms);(V)

-4,97467065;1,07806300
-4,97456665;1,03115800
-4,97446265;1,07806300
-4,97435865;1,03115800
-4,97425465;1,07806300
-4,97415065;1,03115800
-4,97404665;1,07806300
-4,97394265;1,07806300
-4,97383865;1,07806300
-4,97373465;1,07806300
-4,97363065;1,07806300
-4,97352665;1,07806300
-4,97342265;1,07806300
-4,97331865;1,12496900
-4,97321465;1,12496900
-4,97311065;1,07806300
-4,97300665;1,07806300
-4,97290265;1,07806300
-4,97279865;1,07806300
-4,97269465;1,07806300
-4,97259065;1,12496900
-4,97248665;1,07806300
-4,97238265;1,07806300
-4,97227865;1,07806300
-4,97217465;1,07806300
-4,97207065;1,07806300
-4,97196665;1,07806300
-4,97186265;1,03115800
-4,97175865;1,07806300
-4,97165465;1,07806300
-4,97155065;1,07806300
-4,97144665;1,07806300
-4,97134265;1,07806300
-4,97123865;1,07806300
-4,97113465;1,07806300
-4,97103065;1,07806300
-4,97092665;1,07806300
-4,97082265;1,12496900
-4,97071865;1,07806300
-4,97061465;1,07806300
-4,97051065;1,07806300
-4,97040665;1,07806300
-4,97030265;1,07806300
-4,97019865;1,07806300
-4,97009465;1,07806300
-4,96999065;1,07806300
-4,96988665;1,07806300
-4,96978265;1,07806300
-4,96967865;1,07806300
-4,96957465;1,07806300
-4,96947065;1,07806300
-4,96936665;1,03115800
-4,96926265;1,07806300
-4,96915865;1,07806300
-4,96905465;1,07806300
-4,96895065;1,07806300
-4,96884665;1,07806300
-4,96874265;1,07806300
-4,96863865;1,07806300
-4,96853465;1,07806300
-4,96843065;1,12496900
-4,96832665;1,07806300
-4,96822265;1,07806300
-4,96811865;1,12496900
-4,96801465;1,12496900
-4,96791065;1,07806300
-4,96780665;1,12496900
-4,96770265;1,07806300
-4,96759865;1,07806300
-4,96749465;1,07806300
-4,96739065;1,07806300
-4,96728665;1,07806300
-4,96718265;1,07806300
-4,96707865;1,07806300
-4,96697465;1,07806300
-4,96687065;1,07806300
-4,96676665;1,07806300
-4,96666265;1,07806300
-4,96655865;1,07806300
-4,96645465;1,07806300
-4,96635065;1,07806300
-4,96624665;1,07806300
-4,96614265;1,07806300
-4,96603865;1,07806300
-4,96593465;1,07806300
-4,96583065;1,07806300
-4,96572665;1,07806300
-4,96562265;1,07806300
-4,96551865;1,07806300
-4,96541465;1,07806300
-4,96531065;1,07806300
-4,96520665;1,07806300
-4,96510265;1,07806300
-4,96499865;1,07806300
-4,96489465;1,07806300
-4,96479065;1,07806300
-4,96468665;1,07806300
-4,96458265;1,07806300
-4,96447865;1,07806300
-4,96437465;1,07806300
-4,96427065;1,07806300
-4,96416665;1,07806300
-4,96406265;1,07806300
-4,96395865;1,07806300
-4,96385465;1,07806300
-4,96375065;1,07806300
-4,96364665;1,07806300
-4,96354265;1,07806300
-4,96343865;1,12496900
-4,96333465;1,07806300
-4,96323065;1,07806300
-4,96312665;1,07806300
-4,96302265;1,07806300
-4,96291865;1,07806300
-4,96281465;1,07806300
-4,96271065;1,07806300
-4,96260665;1,07806300
-4,96250265;1,07806300
-4,96239865;1,07806300
-4,96229465;1,07806300
-4,96219065;1,07806300
-4,96208665;1,07806300
-4,96198265;1,07806300
-4,96187865;1,03115800
-4,96177465;1,07806300
-4,96167065;1,07806300
-4,96156665;1,07806300
-4,96146265;1,07806300
-4,96135865;1,07806300
-4,96125465;1,07806300
-4,96115065;1,07806300
-4,96104665;1,07806300
-4,96094265;1,12496900
-4,96083865;1,07806300
-4,96073465;1,07806300
-4,96063065;1,07806300
-4,96052665;1,07806300
-4,96042265;1,07806300
-4,96031865;1,07806300
-4,96021465;1,07806300
-4,96011065;1,07806300
-4,96000665;1,07806300
-4,95990265;1,07806300
-4,95979865;1,07806300
-4,95969465;1,07806300
-4,95959065;1,07806300
-4,95948665;1,07806300
-4,95938265;1,07806300
-4,95927865;1,07806300
-4,95917465;1,07806300
-4,95907065;1,07806300
-4,95896665;1,07806300
-4,95886265;1,07806300
-4,95875865;1,07806300
-4,95865465;1,07806300
-4,95855065;1,07806300
-4,95844665;1,07806300
-4,95834265;1,07806300
-4,95823865;1,07806300
-4,95813465;1,12496900
-4,95803065;1,07806300
-4,95792665;1,07806300
-4,95782265;1,07806300
-4,95771865;1,07806300
-4,95761465;1,07806300
-4,95751065;1,07806300
-4,95740665;1,07806300
-4,95730265;1,07806300
-4,95719865;1,07806300
-4,95709465;1,07806300
-4,95699065;1,07806300
-4,95688665;1,07806300
-4,95678265;1,07806300
-4,95667865;1,07806300
-4,95657465;1,03115800
-4,95647065;1,07806300
-4,95636665;1,07806300
-4,95626265;1,03115800
-4,95615865;1,07806300
-4,95605465;1,07806300
-4,95595065;1,07806300
-4,95584665;1,03115800
-4,95574265;1,07806300
-4,95563865;1,07806300
-4,95553465;1,07806300
-4,95543065;1,07806300
-4,95532665;1,07806300
-4,95522265;1,07806300
-4,95511865;1,07806300
-4,95501465;1,07806300
-4,95491065;1,07806300
-4,95480665;1,07806300
-4,95470265;1,07806300
-4,95459865;1,07806300
-4,95449465;1,07806300
-4,95439065;1,03115800
-4,95428665;1,07806300
-4,95418265;1,07806300
-4,95407865;1,07806300
-4,95397465;1,07806300
-4,95387065;1,07806300
-4,95376665;1,07806300
-4,95366265;1,07806300
-4,95355865;1,07806300
-4,95345465;1,07806300
-4,95335065;1,07806300
-4,95324665;1,07806300
-4,95314265;1,07806300
-4,95303865;1,07806300
-4,95293465;1,07806300
-4,95283065;1,07806300
-4,95272665;1,07806300
-4,95262265;1,07806300
-4,95251865;1,07806300
-4,95241465;1,07806300
-4,95231065;1,07806300
-4,95220665;1,07806300
-4,95210265;1,07806300
-4,95199865;1,07806300
-4,95189465;1,03115800
-4,95179065;1,07806300
-4,95168665;1,07806300
-4,95158265;1,07806300
-4,95147865;1,07806300
-4,95137465;1,07806300
-4,95127065;1,07806300
-4,95116665;1,07806300
-4,95106265;1,07806300
-4,95095865;1,07806300
-4,95085465;1,07806300
-4,95075065;1,07806300
-4,95064665;1,07806300
-4,95054265;1,07806300
-4,95043865;1,07806300
-4,95033465;1,07806300
-4,95023065;1,07806300
-4,95012665;1,07806300
-4,95002265;1,07806300
-4,94991865;1,07806300
-4,94981465;1,07806300
-4,94971065;1,07806300
-4,94960665;1,07806300
-4,94950265;1,07806300
-4,94939865;1,07806300
-4,94929465;1,07806300
-4,94919065;1,07806300
-4,94908665;1,07806300
-4,94898265;1,07806300
-4,94887865;1,07806300
-4,94877465;1,07806300
-4,94867065;1,07806300
-4,94856665;1,07806300
-4,94846265;1,07806300
-4,94835865;1,07806300
-4,94825465;1,07806300
-4,94815065;1,07806300
-4,94804665;1,07806300
-4,94794265;1,07806300
-4,94783865;1,07806300
-4,94773465;1,07806300
-4,94763065;1,07806300
-4,94752665;1,07806300
-4,94742265;1,07806300
-4,94731865;1,07806300
-4,94721465;1,07806300
-4,94711065;1,07806300
-4,94700665;1,07806300
-4,94690265;1,07806300
-4,94679865;1,03115800
-4,94669465;1,07806300
-4,94659065;1,07806300
-4,94648665;1,07806300
-4,94638265;1,07806300
-4,94627865;1,07806300
-4,94617465;1,07806300
-4,94607065;1,07806300
-4,94596665;1,07806300
-4,94586265;1,07806300
-4,94575865;1,07806300
-4,94565465;1,07806300
-4,94555065;1,07806300
-4,94544665;1,07806300
-4,94534265;1,07806300
-4,94523865;1,07806300
-4,94513465;1,12496900
-4,94503065;1,07806300
-4,94492665;1,07806300
-4,94482265;1,07806300
-4,94471865;1,07806300
-4,94461465;1,07806300
-4,94451065;1,07806300
-4,94440665;1,07806300
-4,94430265;1,03115800
-4,94419865;1,07806300
-4,94409465;1,07806300
-4,94399065;1,07806300
-4,94388665;1,12496900
-4,94378265;1,07806300
-4,94367865;1,07806300
-4,94357465;1,07806300
-4,94347065;1,07806300
-4,94336665;1,07806300
-4,94326265;1,07806300
-4,94315865;1,07806300
-4,94305465;1,07806300
-4,94295065;1,07806300
-4,94284665;1,07806300
-4,94274265;1,07806300
-4,94263865;1,07806300
-4,94253465;1,07806300
-4,94243065;1,07806300
-4,94232665;1,07806300
-4,94222265;1,07806300
-4,94211865;1,07806300
-4,94201465;1,07806300
-4,94191065;1,07806300
-4,94180665;1,07806300
-4,94170265;1,07806300
-4,94159865;1,07806300
-4,94149465;1,07806300
-4,94139065;1,07806300
-4,94128665;1,07806300
-4,94118265;1,07806300
-4,94107865;1,07806300
-4,94097465;1,07806300
-4,94087065;1,07806300
-4,94076665;1,07806300
-4,94066265;1,07806300
-4,94055865;1,07806300
-4,94045465;1,12496900
-4,94035065;1,07806300
-4,94024665;1,07806300
-4,94014265;1,07806300
-4,94003865;1,07806300
-4,93993465;1,07806300
-4,93983065;1,07806300
-4,93972665;1,07806300
-4,93962265;1,07806300
-4,93951865;1,07806300
-4,93941465;1,07806300
-4,93931065;1,07806300
-4,93920665;1,07806300
-4,93910265;1,07806300
-4,93899865;1,07806300
-4,93889465;1,07806300
-4,93879065;1,07806300
-4,93868665;1,07806300
-4,93858265;1,07806300
-4,93847865;1,12496900
-4,93837465;1,07806300
-4,93827065;1,07806300
-4,93816665;1,07806300
-4,93806265;1,07806300
-4,93795865;1,07806300
-4,93785465;1,07806300
-4,93775065;1,07806300
-4,93764665;1,07806300
-4,93754265;1,07806300
-4,93743865;1,07806300
-4,93733465;1,07806300
-4,93723065;1,07806300
-4,93712665;1,07806300
-4,93702265;1,12496900
-4,93691865;1,07806300
-4,93681465;1,07806300
-4,93671065;1,07806300
-4,93660665;1,07806300
-4,93650265;1,07806300
-4,93639865;1,12496900
-4,93629465;1,07806300
-4,93619065;1,07806300
-4,93608665;1,07806300
-4,93598265;1,07806300
-4,93587865;1,07806300
-4,93577465;1,07806300
-4,93567065;1,12496900
-4,93556665;1,07806300
-4,93546265;1,07806300
-4,93535865;1,07806300
-4,93525465;1,07806300
-4,93515065;1,07806300
-4,93504665;1,03115800
-4,93494265;1,07806300
-4,93483865;1,07806300
-4,93473465;1,07806300
-4,93463065;1,07806300
-4,93452665;1,07806300
-4,93442265;1,07806300
-4,93431865;1,07806300
-4,93421465;1,07806300
-4,93411065;1,07806300
-4,93400665;1,07806300
-4,93390265;1,07806300
-4,93379865;1,07806300
-4,93369465;1,07806300
-4,93359065;1,07806300
-4,93348665;1,07806300
-4,93338265;1,07806300
-4,93327865;1,07806300
-4,93317465;1,07806300
-4,93307065;1,07806300
-4,93296665;1,07806300
-4,93286265;1,12496900
-4,93275865;1,07806300
-4,93265465;1,07806300
-4,93255065;1,07806300
-4,93244665;1,07806300
-4,93234265;1,07806300
-4,93223865;1,07806300
-4,93213465;1,07806300
-4,93203065;1,07806300
-4,93192665;1,07806300
-4,93182265;1,07806300
-4,93171865;1,07806300
-4,93161465;1,07806300
-4,93151065;1,03115800
-4,93140665;1,07806300
-4,93130265;1,07806300
-4,93119865;1,07806300
-4,93109465;1,07806300
-4,93099065;1,07806300
-4,93088665;1,07806300
-4,93078265;1,07806300
-4,93067865;1,07806300
-4,93057465;1,07806300
-4,93047065;1,07806300
-4,93036665;1,07806300
-4,93026265;1,07806300
-4,93015865;1,07806300
-4,93005465;1,12496900
-4,92995065;1,07806300
-4,92984665;1,12496900
-4,92974265;1,07806300
-4,92963865;1,07806300
-4,92953465;1,07806300
-4,92943065;1,12496900
-4,92932665;1,07806300
-4,92922265;1,03115800
-4,92911865;1,07806300
-4,92901465;1,12496900
-4,92891065;1,07806300
-4,92880665;1,07806300
-4,92870265;1,07806300
-4,92859865;1,07806300
-4,92849465;1,07806300
-4,92839065;1,07806300
-4,92828665;1,12496900
-4,92818265;1,12496900
-4,92807865;1,07806300
-4,92797465;1,07806300
-4,92787065;1,07806300
-4,92776665;1,07806300
-4,92766265;1,07806300
-4,92755865;1,12496900
-4,92745465;1,07806300
-4,92735065;1,07806300
-4,92724665;1,07806300
-4,92714265;1,07806300
-4,92703865;1,07806300
-4,92693465;1,07806300
-4,92683065;1,07806300
-4,92672665;1,03115800
-4,92662265;1,12496900
-4,92651865;1,07806300
-4,92641465;1,07806300
-4,92631065;1,12496900
-4,92620665;1,07806300
-4,92610265;1,07806300
-4,92599865;1,07806300
-4,92589465;1,07806300
-4,92579065;1,07806300
-4,92568665;1,07806300
-4,92558265;1,12496900
-4,92547865;1,07806300
-4,92537465;1,07806300
-4,92527065;1,07806300
-4,92516665;1,07806300
-4,92506265;1,07806300
-4,92495865;1,07806300
-4,92485465;1,07806300
-4,92475065;1,07806300
-4,92464665;1,07806300
-4,92454265;1,07806300
-4,92443865;1,07806300
-4,92433465;1,07806300
-4,92423065;1,07806300
-4,92412665;1,07806300
-4,92402265;1,07806300
-4,92391865;1,07806300
-4,92381465;1,07806300
-4,92371065;1,12496900
-4,92360665;1,07806300
-4,92350265;1,07806300
-4,92339865;1,07806300
-4,92329465;1,07806300
-4,92319065;1,07806300
-4,92308665;1,07806300
-4,92298265;1,07806300
-4,92287865;1,07806300
-4,92277465;1,07806300
-4,92267065;1,03115800
-4,92256665;1,12496900
-4,92246265;1,07806300
-4,92235865;1,07806300
-4,92225465;1,07806300
-4,92215065;1,07806300
-4,92204665;1,07806300
-4,92194265;1,07806300
-4,92183865;1,07806300
-4,92173465;1,03115800
-4,92163065;1,07806300
-4,92152665;1,07806300
-4,92142265;1,07806300
-4,92131865;1,07806300
-4,92121465;1,07806300
-4,92111065;1,07806300
-4,92100665;1,07806300
