Zeit;Kanal A
(ms);(mV)

-23,99166574;3,72354800
-23,98666574;2,97859200
-23,98166574;2,97859200
-23,97666574;2,97859200
-23,97166574;2,79281500
-23,96666574;2,79281500
-23,96166574;2,79281500
-23,95666574;2,23425200
-23,95166575;2,97859200
-23,94666575;2,97859200
-23,94166575;2,79281500
-23,93666575;2,42002900
-23,93166575;2,97859200
-23,92666575;2,97859200
-23,92166575;3,72354800
-23,91666575;3,35137800
-23,91166575;4,28211100
-23,90666575;4,09571800
-23,90166575;4,09571800
-23,89666575;4,28211100
-23,89166575;4,46850300
-23,88666575;4,09571800
-23,88166575;3,90994000
-23,87666575;5,58562900
-23,87166575;4,09571800
-23,86666575;4,09571800
-23,86166575;4,28211100
-23,85666575;3,90994000
-23,85166575;4,09571800
-23,84666575;4,65428200
-23,84166575;3,72354800
-23,83666575;4,65428200
-23,83166575;4,46850300
-23,82666575;4,28211100
-23,82166575;4,09571800
-23,81666575;4,65428200
-23,81166575;4,84067400
-23,80666575;4,65428200
-23,80166575;4,65428200
-23,79666575;5,21284400
-23,79166575;4,46850300
-23,78666575;4,84067400
-23,78166575;4,09571800
-23,77666575;4,09571800
-23,77166575;3,72354800
-23,76666575;3,90994000
-23,76166575;3,90994000
-23,75666575;3,72354800
-23,75166575;3,53715500
-23,74666575;3,16498500
-23,74166575;2,97859200
-23,73666575;3,53715500
-23,73166575;2,42002900
-23,72666575;2,97859200
-23,72166575;2,79281500
-23,71666575;2,79281500
-23,71166575;3,35137800
-23,70666575;2,42002900
-23,70166575;2,42002900
-23,69666575;3,35137800
-23,69166575;2,97859200
-23,68666575;2,97859200
-23,68166575;2,42002900
-23,67666575;2,23425200
-23,67166575;2,97859200
-23,66666575;3,16498500
-23,66166575;2,79281500
-23,65666575;3,53715500
-23,65166575;3,90994000
-23,64666575;3,90994000
-23,64166575;3,35137800
-23,63666575;3,53715500
-23,63166575;3,90994000
-23,62666575;3,72354800
-23,62166575;3,90994000
-23,61666575;4,65428200
-23,61166575;3,72354800
-23,60666575;2,97859200
-23,60166575;4,28211100
-23,59666575;4,28211100
-23,59166575;4,28211100
-23,58666575;4,65428200
-23,58166575;5,02706700
-23,57666575;5,21284400
-23,57166575;4,84067400
-23,56666575;5,02706700
-23,56166575;5,21284400
-23,55666575;5,39923700
-23,55166576;4,84067400
-23,54666576;6,14419300
-23,54166576;4,84067400
-23,53666576;5,21284400
-23,53166576;4,65428200
-23,52666576;5,02706700
-23,52166576;4,28211100
-23,51666576;4,28211100
-23,51166576;4,65428200
-23,50666576;4,46850300
-23,50166576;4,65428200
-23,49666576;4,09571800
-23,49166576;5,21284400
-23,48666576;5,21284400
-23,48166576;4,46850300
-23,47666576;4,84067400
-23,47166576;4,65428200
-23,46666576;4,65428200
-23,46166576;4,84067400
-23,45666576;4,46850300
-23,45166576;4,84067400
-23,44666576;4,84067400
-23,44166576;3,90994000
-23,43666576;4,28211100
-23,43166576;4,28211100
-23,42666576;4,09571800
-23,42166576;4,28211100
-23,41666576;4,28211100
-23,41166576;3,72354800
-23,40666576;3,90994000
-23,40166576;3,16498500
-23,39666576;4,28211100
-23,39166576;4,28211100
-23,38666576;4,28211100
-23,38166576;4,65428200
-23,37666576;4,84067400
-23,37166576;4,28211100
-23,36666576;3,53715500
-23,36166576;3,72354800
-23,35666576;3,35137800
-23,35166576;3,35137800
-23,34666576;3,72354800
-23,34166576;2,60642200
-23,33666576;1,86146600
-23,33166576;2,23425200
-23,32666576;2,97859200
-23,32166576;2,42002900
-23,31666576;1,67568900
-23,31166576;2,23425200
-23,30666576;2,04785900
-23,30166576;2,23425200
-23,29666576;2,04785900
-23,29166576;2,04785900
-23,28666576;2,04785900
-23,28166576;2,04785900
-23,27666576;2,04785900
-23,27166576;1,86146600
-23,26666576;1,48929600
-23,26166576;1,86146600
-23,25666576;1,86146600
-23,25166576;1,67568900
-23,24666576;1,11712600
-23,24166576;1,48929600
-23,23666576;0,74434050
-23,23166576;1,48929600
-23,22666576;1,30290300
-23,22166576;1,11712600
